0 qid:0 1:2.8261305873025417 2:2.710869264088203 3:0.0
0 qid:0 1:2.557806638070881 2:2.710869264088203 3:0.0
0 qid:0 1:2.287463965837261 2:2.710869264088203 3:0.0
0 qid:0 1:2.219102534023671 2:1.928530868208314 3:0.0
0 qid:0 1:2.053367348380045 2:2.710869264088203 3:0.0
0 qid:0 1:1.507864160569707 2:1.5674592417764346 3:0.0
1 qid:0 1:1.1981276235493101 2:-0.4330342466794794 3:0.0
0 qid:0 1:1.1981276235493101 2:-0.4330342466794794 3:0.0
0 qid:0 1:1.0121179612527342 2:-0.4330342466794794 3:0.0
3 qid:0 1:1.0121179612527342 2:-0.4330342466794794 3:0.0
1 qid:0 1:1.0121179612527342 2:-0.4330342466794794 3:0.0
0 qid:0 1:0.9405895789569827 2:-0.4330342466794794 3:0.0
0 qid:0 1:0.8528394301203227 2:-0.4330342466794794 3:0.0
0 qid:0 1:0.7149160861525242 2:-0.4330342466794794 3:0.0
3 qid:0 1:0.4879868238100544 2:1.560738709033399 3:0.0
2 qid:0 1:0.22053892859650248 2:1.9232975426567003 3:0.0
0 qid:0 1:0.100953167871275 2:1.9232975426567003 3:0.0
0 qid:0 1:0.100953167871275 2:1.560738709033399 3:0.0
0 qid:0 1:-0.05130937765838124 2:2.94237814433308 3:0.0
3 qid:0 1:-0.16160371801672088 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.19233965601252379 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.2650729126917712 2:-0.4330342466794794 3:0.0
3 qid:0 1:-0.32805449537933723 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.32805449537933723 2:-0.4330342466794794 3:0.0
1 qid:0 1:-0.32805449537933723 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.3831223680521914 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.43167991287057433 2:-0.4330342466794794 3:0.0
0 qid:0 1:-0.47481720601819 2:-0.4330342466794794 3:0.0
0 qid:1 1:3.1024428055497073 2:3.3368838424215994 3:0.0
0 qid:1 1:2.818943821070195 2:3.3368838424215994 3:0.0
0 qid:1 1:2.748257240031889 2:3.3368838424215994 3:0.0
0 qid:1 1:2.748257240031889 2:2.4233900923206186 3:0.0
0 qid:1 1:2.748257240031889 2:2.0017865051499375 3:0.0
0 qid:1 1:2.3157323475131966 2:2.0017865051499375 3:0.0
0 qid:1 1:0.4368249222374398 2:3.6072040980939795 3:0.0
0 qid:1 1:0.21388778096829805 2:-0.3340803121329879 3:0.0
3 qid:1 1:0.20218108714626068 2:-0.3340803121329879 3:0.0
0 qid:1 1:0.20218108714626068 2:-0.3340803121329879 3:0.0
3 qid:1 1:0.12402956133843382 2:-0.3340803121329879 3:0.0
0 qid:1 1:0.12402956133843382 2:-0.3340803121329879 3:0.0
0 qid:1 1:0.09931607890438837 2:-0.3340803121329879 3:0.0
0 qid:1 1:0.04546213279771453 2:-0.3340803121329879 3:0.0
3 qid:1 1:0.04546213279771453 2:-0.3340803121329879 3:0.0
0 qid:1 1:0.011233625469439321 2:-0.3340803121329879 3:0.0
3 qid:1 1:0.011233625469439321 2:-0.3340803121329879 3:0.0
0 qid:1 1:-0.023816763361854735 2:-0.3340803121329879 3:0.0
0 qid:1 1:-0.06503921831097384 2:-0.3340803121329879 3:0.0
0 qid:1 1:-0.08536238029443062 2:-0.3340803121329879 3:0.0
0 qid:1 1:-0.14040111425859322 2:-0.3340803121329879 3:0.0
0 qid:2 1:2.0341271809694486 2:4.304522155782168 3:0.0
0 qid:2 1:1.9364271031885563 2:-0.2510507152036371 3:0.0
0 qid:2 1:1.8130311923334863 2:4.304522155782168 3:0.0
0 qid:2 1:1.8130311923334863 2:3.6035753731324003 3:0.0
0 qid:2 1:1.8130311923334863 2:-0.2510507152036371 3:0.0
0 qid:2 1:1.6261683224926158 2:-0.2510507152036371 3:0.0
0 qid:2 1:1.466159196816198 2:-0.2510507152036371 3:0.0
3 qid:2 1:1.3276032123922272 2:-0.2510507152036371 3:0.0
0 qid:2 1:1.3276032123922272 2:-0.2510507152036371 3:0.0
0 qid:2 1:1.2064569505370535 2:-0.2510507152036371 3:0.0
