0 qid:0 1:3.5351043951946073 2:-0.4330342466794...
0 qid:0 1:3.5351043951946073 2:-0.4330342466794...
0 qid:0 1:2.0585594407439762 2:2.71086926408820...
0 qid:0 1:1.8901528098396645 2:2.71086926408820...
0 qid:0 1:1.6712025942264466 2:2.71086926408820...
0 qid:0 1:1.5821500540093063 2:1.92853086820831...
1 qid:0 1:1.4818250026505833 2:2.71086926408820...
0 qid:0 1:1.041307822320735 2:1.567459241776435...
0 qid:0 1:0.8389351312424899 2:-0.4330342466794...
0 qid:0 1:0.8389351312424899 2:-0.4330342466794...
0 qid:0 1:0.8389351312424899 2:-0.4330342466794...
0 qid:0 1:0.8389351312424899 2:-0.4330342466794...
3 qid:0 1:0.8389351312424899 2:-0.4330342466794...
1 qid:0 1:0.6849670832039614 2:-0.4330342466794...
0 qid:0 1:0.6849670832039614 2:-0.4330342466794...
0 qid:0 1:0.6849670832039614 2:-0.4330342466794...
0 qid:0 1:0.5977787716757579 2:-0.4330342466794...
0 qid:0 1:0.5533009167333484 2:-0.4330342466794...
3 qid:0 1:0.5533009167333484 2:-0.4330342466794...
2 qid:0 1:0.43941830908943025 2:-0.433034246679...
0 qid:0 1:0.2523069935998872 2:1.56073870903339...
0 qid:0 1:-0.04753242871510667 2:1.923297542656...
0 qid:0 1:-0.10549089086473452 2:2.942378144333...
3 qid:0 1:-0.13946435235936577 2:1.923297542656...
0 qid:0 1:-0.13946435235936577 2:1.560738709033...
0 qid:0 1:-0.2310228807176825 2:-0.433034246679...
0 qid:0 1:-0.2963496347159497 2:-0.433034246679...
0 qid:0 1:-0.2963496347159497 2:-0.433034246679...
3 qid:0 1:-0.2963496347159497 2:-0.433034246679...
0 qid:0 1:-0.3407591265971205 2:-0.433034246679...
1 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.3528529969209689 2:-0.433034246679...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.40220748640051035 2:-0.43303424667...
0 qid:0 1:-0.4456891081629995 2:-0.433034246679...
0 qid:0 1:-0.4456891081629995 2:-0.433034246679...
0 qid:0 1:-0.4456891081629995 2:-0.433034246679...
0 qid:0 1:-0.4456891081629995 2:-0.433034246679...
0 qid:0 1:-0.4456891081629995 2:-0.433034246679...0 qid:1 1:3.1024428055497073 2:3.33688384242159...
